period_days,transit_count,signal_depth,snr,odd_even_diff,out_of_transit_variance,secondary_dip_ratio,target_id,is_planet
1.0755,23,0.00315,2.27,6e-05,0.001388,0.72,TIC 145027461,0
1.1633,24,0.00273,2.35,1.9e-05,0.001164,0.7102,TIC 67309890,0
0.6658,35,0.01137,2.32,1.4e-05,0.004893,0.0,TIC 22020459,0
7.1528,3,0.0039,2.32,0.000211,0.001681,0.7084,TIC 232941965,1
1.2511,19,0.14686,2.33,0.000847,0.063065,0.7083,TIC 146463781,0
11.3767,2,0.02543,2.32,0.000476,0.01094,0.7062,TIC 366576758,1
2.1876,12,0.00368,2.33,3.9e-05,0.00158,0.6999,TIC 197650870,0
7.4942,3,0.01103,2.33,0.000207,0.004743,0.7067,TIC 262715204,1
10.1866,2,0.00169,2.27,2.5e-05,0.000747,0.6779,TIC 207468071,0
8.9672,2,0.00259,2.29,5.5e-05,0.001129,0.7041,TIC 154089169,1
10.2744,2,0.01932,2.56,0.000591,0.007535,0.6437,TIC 424747720,0
14.5373,1,0.00794,2.3,0.000253,0.003446,0.6821,TIC 40292751,1
11.9035,2,0.00532,2.45,5e-06,0.002171,0.6687,TIC 308073360,1
7.1041,3,0.00062,2.31,4.4e-05,0.000267,0.6796,TIC 130181866,1
16.7419,1,0.00179,2.21,1e-06,0.000811,0.7256,TIC 268334473,1
18.8977,1,0.00727,4.68,2e-06,0.001556,0.2806,TIC 270841724,0
0.6951,37,0.00191,2.37,1e-06,0.000805,0.0,TIC 242536549,0
2.1193,11,0.01979,2.36,0.000453,0.008404,0.6917,TIC 239136269,0
2.1388,11,0.02287,3.19,2.9e-05,0.00717,0.5142,TIC 382602147,1
6.0408,4,0.00158,2.41,4.9e-05,0.000656,0.6716,TIC 266980320,1
12.3814,1,0.00145,2.27,2e-05,0.00064,0.7054,TIC 366484980,1
6.9382,3,0.02806,2.32,0.000101,0.012086,0.7084,TIC 98545929,1
1.2706,21,0.00893,2.33,0.00012,0.003825,0.7134,TIC 452006073,1
18.9855,1,0.00094,2.39,5.5e-05,0.000395,0.6515,TIC 82308728,1
1.7779,13,0.01,2.34,0.000114,0.004272,0.6968,TIC 66356824,0
0.6073,45,0.00617,1.34,6.7e-05,0.004591,0.0,TIC 299798795,1
1.8754,13,0.01705,2.32,0.000247,0.00735,0.7089,TIC 44745077,0
0.6853,38,0.01944,2.38,0.00038,0.008156,0.0,TIC 81212286,0
4.5093,5,0.00748,2.23,5.8e-05,0.003361,0.6975,TIC 125739286,1
16.8297,1,0.0036,2.38,4e-06,0.001514,0.6741,TIC 306472057,1
17.2589,1,0.00445,2.3,0.000114,0.001933,0.7034,TIC 348844154,0
10.6353,1,0.00507,2.39,0.000223,0.002124,0.679,TIC 92226327,1
0.5195,48,0.00485,2.01,2e-06,0.002411,0.0,TIC 156115721,0
11.445,1,0.001,2.33,9e-06,0.000427,0.6972,TIC 120896927,1
5.4945,4,0.00156,2.23,2.7e-05,0.0007,0.7023,TIC 71582156,1
2.7046,9,0.01022,2.36,9e-06,0.004329,0.6912,TIC 153078576,1
0.8804,27,0.01909,2.32,0.000122,0.008241,0.7372,TIC 182470056,0
1.3389,20,0.02769,10.63,0.001051,0.002604,0.1465,TIC 402026209,1
1.1926,24,0.00246,2.3,6.2e-05,0.001066,0.679,TIC 377144784,0
1.8754,13,0.00692,2.29,0.000115,0.003021,0.6976,TIC 1405997635,0
3.7484,6,0.00169,2.23,1.9e-05,0.000756,0.7105,TIC 287474726,0
7.1918,3,0.00737,2.26,3.1e-05,0.003257,0.7079,TIC 257527578,1
4.6166,5,0.01385,2.35,5e-06,0.005883,0.6936,TIC 268042363,0
2.4997,10,0.01568,2.53,0.000333,0.006208,0.6498,TIC 102068384,1
6.948,3,0.01085,4.99,0.000543,0.002175,0.3199,TIC 321857016,1
18.5465,1,0.00864,2.24,0.000111,0.003848,0.708,TIC 411839167,1
15.2299,1,0.00123,2.25,2e-05,0.000546,0.6916,TIC 260647166,1
9.572,2,0.00199,2.39,2.2e-05,0.00083,0.6642,TIC 86280613,0
7.0748,3,0.00108,2.24,3e-06,0.000482,0.704,TIC 408618999,1
3.6801,6,0.00203,3.05,1.5e-05,0.000664,0.5252,TIC 186812530,1
13.9812,1,0.02208,2.31,0.000428,0.009561,0.7019,TIC 271971130,1
5.3287,5,0.00848,2.34,0.000219,0.003625,0.6984,TIC 20988926,0
16.1468,1,0.00324,2.44,9.8e-05,0.001327,0.6553,TIC 456945304,1
7.0455,3,0.00052,2.31,4e-06,0.000224,0.6908,TIC 407966340,1
4.3727,5,0.00287,2.36,1.5e-05,0.001217,0.6942,TIC 134396419,0
